0;KG Blau-Weiß Fischenich; ; ;blau
1;Anhang;Tusch - einfach;Es;gelb
2;Anhang;Tusch - dreifach;Es;gelb
3;Anhang;1. Supertusch;Es;gelb
4;Anhang;2. Supertusch;Es;gelb
5;Anhang;Rakete - 3-stufig;B;gelb
6;Anhang;Twenty-Century-Fox Fanfare;B;gelb
7;Anhang;Happy Birthday;As;gelb
8;Anhang;Musikalische Gratulation;As;gelb
9;Anhang;Eurovisions-Hymne;B;gelb
10;Anhang;Ode an die Freude;F;gelb
11;Anhang;Hallelujah - Chor;C;gelb
12;1;Einmarsch des Elferrates;B;gelb
13;2;Nüngzehnhundert Johr...;F;gelb
14;3;Der schmucke Prinz;As;gelb
15;4;Küssen ist keine Sünd´;Es;gelb
16;5;Ov krüzz oder quer;As;gelb
17;6;Hurra, hurra ...;Es;gelb
18;7;Jung, dat häs do joot gemaht;Es;gelb
19;8;Aber heut´ sind wir fidel;F;gelb
20;9;Heidewitzka, Herr Kapitän;B;gelb
21;10;Wir halten treu und fest zusammen;As;gelb
22;11;Flascherl-Wein-Marsch;B;gelb
23;12;Wir sind die Sänger;Es;gelb
24;13;Kölsche Mädche, kölsche Junge ...;As;gelb
25;14;Wo mag er sein, wo mag er bleiben;As;gelb
26;15;Ein Prosit;B;gelb
27;16;Denn einmal nur im Jahr ist Karneval;Es;gelb
28;17;Kölsche Mädche künne bütze;B;gelb
29;18;Rheinische Lieder;B;gelb
30;19;Wer soll das bezahlen;C;gelb
31;20;Wir kommen alle in den Himmel;C;gelb
32;21;Das gibt´s nur einmal;C;gelb
33;22;Rheinlandmädel;B;gelb
34;23;Agrippina;C;gelb
35;24;Nor am Dreikünnigepöötzje;F;gelb
36;25;Ein Freund, ein guter Freund;Es;gelb
37;26;Och dann freut sich die Mama;F;gelb
38;27;Horch, was kommt von draußen rein;Es;gelb
39;28;Wir sind alle kleine Sünderlein;B;gelb
40;29;Schorschi, ach fahr´mit mir ...;B;gelb
41;30;Das machen nur die Beine von Dolores;F;gelb
42;31;Ist meine Frau nicht fabelhaft?;B;gelb
43;32;Wunderbar, wunderbar;B;gelb
44;33;Oh, wie bist Du schön ...;B;gelb
45;34;Wir gratulieren ...;As;gelb
46;35;So sind wir ...;As;gelb
47;36;Laßt Blumen sprechen ...;Es;gelb
48;37;Trink, trink, Brüderlein trink ...;F;gelb
49;39;Mer losse d´r Dom en Kölle;As;gelb
50;40;Lebst Du auch noch, altes Arschloch? ;B;gelb
51;41;Man müsste nochmal zwanzig sein;F;gelb
52;42;Prima, prima Prümche ...;B;gelb
53;43;In der Heimat, in der Heimat ...;Es;gelb
54;44;Warte, warte nur ein Weilchen;Es;gelb
55;45;Auf in den Kampf, Torero;F;gelb
56;46;Weiber-Marsch;F;gelb
57;47;Immer langsam voran ...;Es;gelb
58;48;Dreimal Null es Null bliev Null;Es;gelb
59;49;Blau sin de Veilcher ...;B;gelb
60;50;Da wo die sieben Berge ...;F;gelb
61;51;Die Hüs´cher bunt om Aldermaat;As;gelb
62;52;Do steiht ´ne Schutzmann;B;gelb
63;53;Glückliche Reise;Es;gelb
64;54;Dat Hätz von d´r Welt;B;gelb
65;55;Polterovend;As;gelb
66;56;Sag ens Blotwoosch ...;Es;gelb
67;57;Dat Glockespill ...;Es;gelb
68;58;Unsere Garde ...;B;gelb
69;59;Wenn du eine Schwiegermutter hast ...;C;gelb
70;60;Schaffe, schaffe, Häus´le baue ...;Es;gelb
71;61;Am alten Schlossturm ...;As;gelb
72;62;Aber eins, aber eins ...;As;gelb
73;63;Straßenbahn-Song;C;gelb
74;64;Echte Fründe ...;B;gelb
75;65;Sport-Palast-Walzer;B;gelb
76;66;Schau nicht auf die Uhr;B;gelb
77;67;Denn wenn dat Trömmelche jeiht ...;Es;gelb
78;68;Op dem Maat ...;As;gelb
79;69;Kutt erop, kutt erop ...;F;gelb
80;70;Ein Männlein steht im Walde ...;Es;gelb
81;71;Scheiß-ejal, ob du Hohn bes oder Hahn;Es;gelb
82;72;In der Männerbäckerei ...;B;gelb
83;73;Viva Colonia;F;gelb
84;74;Showbusiness;B;gelb
85;75;Denn mir sin kölsche Mädcher ...;As;gelb
86;76;Marieche, danz ...;C;gelb
87;77;Mir bruche keiner ...;C;gelb
88;78;Jo su e Mädche muss ich han ...;Es;gelb
89;79;Heut´ brennt mein Iglu ...;F;gelb
90;80;Schnaps, das war sein letztes Wort;C;gelb
91;81;Wir machen durch bis morgen früh ...;B;gelb
92;82;Ein bisschen Spaß muss sein;B;gelb
93;83;FC-Hymne - Mir ston zo dir ...;F;gelb
94;84;Ach, sag´doch nicht immer wieder Dicker zu mir;Es;gelb
95;90;Trompetenecho;?;gelb
96;91;FC-Lieder;?;gelb
97;92;Polka-Potporri;B;grün
98;93;Strassenkarneval;As;grün
99;101;Karnevalsmarsch;Es;grün
100;102;Kölsch Trummeleed;As;grün
101;103;Laridah-Marsch in Es;Es;grün
102;103a;Laridah-Marsch in Des;Des;grün
103;104;Treue Husar;B;grün
104;105;Mainzer Narhalla-Marsch;F;grün
105;106;Ruetz Marsch;As;grün
106;107;Musketier-Marsch;As;grün
107;108;Petersburger-Marsch;Es;grün
108;109;Einzug der Bürgergarde;As;grün
109;151;Kölsche Evergreens - Folge 1;Es;grün
110;152;Kölsche Evergreens - Folge 2;F;grün
111;153;Kölsche Evergreens - Folge 3;Es;grün
112;154;Kölsche Evergreens - Folge 4;Es;grün
113;155;Kölsche Evergreens - Folge 5;Es;grün
114;156;Kölsche Evergreens - Folge 6;C;grün
115;157;Hits von Marie-Luise Nikuta;Es;grün
116;158;Räuber-Medley;Es;grün
117;171;Im Marschtempo mit Willi Osterman;B;grün
118;172;Im Walzertempo mit Willi Ostermann - 1;?;grün
119;172a;Im Walzertempo mit Willi Ostermann - 2;As;grün
120;173;Im Rheinländertempo mit Willi Ostermann - 1;As;grün
121;174;Im Rheinländertempo mit Willi Ostermann - 2;As;grün
122;176;Die Karavane zieht weiter;B;grün
123;177;Eimol Prinz zo sin;Es;grün
124;178;Die Hände zum Himmel;G;grün
125;179;D´r Zoch jeiht loss;B;grün
126;180;De Prinz kütt;As;grün
127;181;Viva Colonia;F;grün
128;182;Rut sin die Ruse;Es;grün
129;183;Paveier in Concert;Es;grün
130;184;Kumm loss mer Samba danze;F;grün
131;201;Altstadtbummel;As;grün
132;202;Erinnerungen an Karl Berbuer;Des;grün
133;203;Erinnerungen an Willi Ostermann;Des;grün
134;204;Hit´s von Jupp Schmitz;B;grün
135;205;Mit Jupp Schlösser am Rhein;B;grün
136;206;Stimmung vom Rhein;F;grün
137;207;Su klingk et bei uns en Kölle;As;grün
138;208;Samba em Veedel;F;grün
139;209;Em richtije Veedel;As;grün
140;210;E Kölsch Musical II;F;grün
141;211;Kölle es e Jeföhl;C;grün
142;212;Die Mädche vom Rhing;As;grün
143;213;Die Weltmeister vum Rhing;C;grün
144;214;Wenn mir Kölsche singe;B;grün
145;215;Spill, Hännes´je, spill;Des;grün
146;251;Frohe Stunden mit Karl Berbuer;C;grün
147;252;Am Rhein mit Karl Berbuer;B;grün
148;253;Stimmungsrakete;C;grün
149;254;Schunkelndes Rheinland;As;grün
150;255;Sommer am Rhein;F;grün
151;301;Fidele Altstädter;As;grün
152;302;Präsentiermarsch Altstädter;As;grün
153;303;Corpstanz Altstädter;B;grün
154;304;Mariechentanz Altstädter;As;grün
155;305;Mariechentanz Altstädter (2010);F;grün
156;311;Kölner-Funken-Marsch in Des;Des;grün
157;312;Kölner-Funken-Marsch in B;B;grün
158;313;Präsentiermarsch Rote Funken;Des;grün
159;314;Rote Funken-Tanz;B;grün
160;315;Mariechen-Tanz Rote Funken;As;grün
161;316;Mariechentanz 1 kölsche Funke;Es;grün
162;321;Kölner Funken Artillerie-Marsch in Ges;Ges;grün
163;322;Kölner Funken Artillerie-Marsch in F;F;grün
164;323;Blaue Funke-Tanz;B;grün
165;324;Blaue Funken Mariechentanz;Es;grün
166;331;Prinzengarde-Marsch;Es;grün
167;332;Gardemarsch;Es;grün
168;333;Prinzengarde-Tanz;As;grün
169;334;Exerziermarsch der Prinzengarde;B;grün
170;341;Ehrengarde-Marsch;Des;grün
171;342;Präsentiermarsch Ehrengarde;As;grün
172;343;Ehrengarde Tanz;Es;grün
173;344;Kadetten-Tanz;Es;grün
174;345;Tanz der Regimentstochter;Es;grün
175;351;Präsentiermarsch Jan von Werth;B;grün
176;352;Reitermarsch Jan von Werth;Es;grün
177;353;Jan von Werth - Marsch;Es;grün
178;354;Drei Musketiere;C;grün
179;355;Marsch för Jan un Jriet;Es;grün
180;500;Polka, Polka; ;blau
181;501;Raderdoll; ;blau
182;502;A-Team ; ;blau
183;503;4711; ;blau
184;504;Stadt met K; ;blau
185;505;Man müsste noch mal 20 sein; ;blau
186;506;Colonia Tropical; ;blau
187;507;Dancing Queen; ;blau
188;508;Ohne Dom; ;blau
189;509;Su lang mer noch am Leeve sin; ;blau
190;510;Schön ist das Leben; ;blau
191;511;Kölsche Jung; ;blau
